data;kod_stanowiska;pm10
2021-03-16;MpKrakZloRog-PM10-24g;58.74
2021-03-17;MpKrakZloRog-PM10-24g;24.44
2021-03-18;MpKrakZloRog-PM10-24g;21.55
2021-03-19;MpKrakZloRog-PM10-24g;47.56
2021-03-20;MpKrakZloRog-PM10-24g;19.33
2021-03-21;MpKrakZloRog-PM10-24g;30.91
2021-03-22;MpKrakZloRog-PM10-24g;19.11
2021-03-23;MpKrakZloRog-PM10-24g;42.4
2021-03-24;MpKrakZloRog-PM10-24g;45.97
2021-03-25;MpKrakZloRog-PM10-24g;74.15
2021-03-26;MpKrakZloRog-PM10-24g;97.43
2021-03-27;MpKrakZloRog-PM10-24g;48.71
2021-03-28;MpKrakZloRog-PM10-24g;24.44
2021-03-29;MpKrakZloRog-PM10-24g;49.58
2021-03-30;MpKrakZloRog-PM10-24g;52.39
2021-03-31;MpKrakZloRog-PM10-24g;59.76
2021-04-01;MpKrakZloRog-PM10-24g;46.41
2021-04-02;MpKrakZloRog-PM10-24g;23.99
2021-04-03;MpKrakZloRog-PM10-24g;26.41
2021-04-04;MpKrakZloRog-PM10-24g;16.85
2021-04-05;MpKrakZloRog-PM10-24g;22.3
2021-04-06;MpKrakZloRog-PM10-24g;20.36
2021-04-07;MpKrakZloRog-PM10-24g;24.43
2021-04-08;MpKrakZloRog-PM10-24g;18.67
2021-04-09;MpKrakZloRog-PM10-24g;28.93
2021-04-10;MpKrakZloRog-PM10-24g;32.46
2021-04-11;MpKrakZloRog-PM10-24g;25.01
2021-04-12;MpKrakZloRog-PM10-24g;28.87
2021-04-13;MpKrakZloRog-PM10-24g;13.7
2021-04-14;MpKrakZloRog-PM10-24g;15.96
2021-04-15;MpKrakZloRog-PM10-24g;13.28
2021-04-16;MpKrakZloRog-PM10-24g;15.96
2021-04-17;MpKrakZloRog-PM10-24g;27.27
2021-04-18;MpKrakZloRog-PM10-24g;33.24
2021-04-19;MpKrakZloRog-PM10-24g;44.21
2021-04-20;MpKrakZloRog-PM10-24g;30.02
2021-04-21;MpKrakZloRog-PM10-24g;39.64
2021-04-22;MpKrakZloRog-PM10-24g;28.51
2021-04-23;MpKrakZloRog-PM10-24g;25.88
2021-04-24;MpKrakZloRog-PM10-24g;30.22
2021-04-25;MpKrakZloRog-PM10-24g;20.42
2021-04-26;MpKrakZloRog-PM10-24g;29.36
2021-04-27;MpKrakZloRog-PM10-24g;27.5
2021-04-28;MpKrakZloRog-PM10-24g;31.64
2021-04-29;MpKrakZloRog-PM10-24g;34.48
2021-04-30;MpKrakZloRog-PM10-24g;21.93
2021-05-01;MpKrakZloRog-PM10-24g;31.99
2021-05-02;MpKrakZloRog-PM10-24g;17.07
2021-05-03;MpKrakZloRog-PM10-24g;12.48
2021-05-04;MpKrakZloRog-PM10-24g;20.16
2021-05-05;MpKrakZloRog-PM10-24g;13.52
2021-05-06;MpKrakZloRog-PM10-24g;10.87
2021-05-07;MpKrakZloRog-PM10-24g;9.78
2021-05-08;MpKrakZloRog-PM10-24g;16.21
2021-05-09;MpKrakZloRog-PM10-24g;18.45
2021-05-10;MpKrakZloRog-PM10-24g;24.28
2021-05-11;MpKrakZloRog-PM10-24g;32.95
2021-05-12;MpKrakZloRog-PM10-24g;33.06
2021-05-13;MpKrakZloRog-PM10-24g;28.16
2021-05-14;MpKrakZloRog-PM10-24g;21.62
2021-05-15;MpKrakZloRog-PM10-24g;12.6
2021-05-16;MpKrakZloRog-PM10-24g;13.17
2021-05-17;MpKrakZloRog-PM10-24g;15.77
2021-05-18;MpKrakZloRog-PM10-24g;13.28
2021-05-19;MpKrakZloRog-PM10-24g;19.45
2021-05-20;MpKrakZloRog-PM10-24g;14.61
2021-05-21;MpKrakZloRog-PM10-24g;16.87
2021-05-22;MpKrakZloRog-PM10-24g;12.08
2021-05-23;MpKrakZloRog-PM10-24g;10.11
2021-05-24;MpKrakZloRog-PM10-24g;16.07
2021-05-25;MpKrakZloRog-PM10-24g;14.24
2021-05-26;MpKrakZloRog-PM10-24g;16.17
2021-05-27;MpKrakZloRog-PM10-24g;14.48
2021-05-28;MpKrakZloRog-PM10-24g;15.7
2021-05-29;MpKrakZloRog-PM10-24g;12.06
2021-05-30;MpKrakZloRog-PM10-24g;11.64
2021-05-31;MpKrakZloRog-PM10-24g;16.76
2021-06-01;MpKrakZloRog-PM10-24g;22.55
2021-06-02;MpKrakZloRog-PM10-24g;24.13
2021-06-03;MpKrakZloRog-PM10-24g;18.18
2021-06-04;MpKrakZloRog-PM10-24g;24.24
2021-06-05;MpKrakZloRog-PM10-24g;16.56
2021-06-06;MpKrakZloRog-PM10-24g;18.82
2021-06-07;MpKrakZloRog-PM10-24g;20.42
2021-06-08;MpKrakZloRog-PM10-24g;26.7
2021-06-09;MpKrakZloRog-PM10-24g;23.9
2021-06-10;MpKrakZloRog-PM10-24g;18.12
2021-06-11;MpKrakZloRog-PM10-24g;22.82
2021-06-12;MpKrakZloRog-PM10-24g;19.2
2021-06-13;MpKrakZloRog-PM10-24g;12.99
2021-06-14;MpKrakZloRog-PM10-24g;12.6
2021-06-15;MpKrakZloRog-PM10-24g;23.9
2021-06-16;MpKrakZloRog-PM10-24g;27.3
2021-06-17;MpKrakZloRog-PM10-24g;26.9
2021-06-18;MpKrakZloRog-PM10-24g;26.7
2021-06-19;MpKrakZloRog-PM10-24g;21.84
2021-06-20;MpKrakZloRog-PM10-24g;17.21
2021-06-21;MpKrakZloRog-PM10-24g;30.91
2021-06-22;MpKrakZloRog-PM10-24g;30.04
2021-06-23;MpKrakZloRog-PM10-24g;29.33
2021-06-24;MpKrakZloRog-PM10-24g;34.63
2021-06-25;MpKrakZloRog-PM10-24g;16.83
2021-06-26;MpKrakZloRog-PM10-24g;17.3
2021-06-27;MpKrakZloRog-PM10-24g;18.94
2021-06-28;MpKrakZloRog-PM10-24g;24.19
2021-06-29;MpKrakZloRog-PM10-24g;25.12
2021-06-30;MpKrakZloRog-PM10-24g;16.92
2021-07-01;MpKrakZloRog-PM10-24g;19.2
2021-07-02;MpKrakZloRog-PM10-24g;18.58
2021-07-03;MpKrakZloRog-PM10-24g;21.17
2021-07-04;MpKrakZloRog-PM10-24g;22.75
2021-07-05;MpKrakZloRog-PM10-24g;22.46
2021-07-06;MpKrakZloRog-PM10-24g;24.54
2021-07-07;MpKrakZloRog-PM10-24g;28.14
2021-07-08;MpKrakZloRog-PM10-24g;31.86
2021-07-09;MpKrakZloRog-PM10-24g;26.81
2021-07-10;MpKrakZloRog-PM10-24g;12.59
2021-07-11;MpKrakZloRog-PM10-24g;18.31
2021-07-12;MpKrakZloRog-PM10-24g;17.1
2021-07-13;MpKrakZloRog-PM10-24g;26.21
2021-07-14;MpKrakZloRog-PM10-24g;41.69
2021-07-15;MpKrakZloRog-PM10-24g;22.88
2021-07-16;MpKrakZloRog-PM10-24g;30.67
2021-07-17;MpKrakZloRog-PM10-24g;22.09
2021-07-18;MpKrakZloRog-PM10-24g;25.23
2021-07-19;MpKrakZloRog-PM10-24g;19.34
2021-07-20;MpKrakZloRog-PM10-24g;19.53
2021-07-21;MpKrakZloRog-PM10-24g;25.81
2021-07-22;MpKrakZloRog-PM10-24g;20.77
2021-07-23;MpKrakZloRog-PM10-24g;24.24
2021-07-24;MpKrakZloRog-PM10-24g;24.9
2021-07-25;MpKrakZloRog-PM10-24g;23.97
2021-07-26;MpKrakZloRog-PM10-24g;17.38
2021-07-27;MpKrakZloRog-PM10-24g;20.2
2021-07-28;MpKrakZloRog-PM10-24g;25.43
2021-07-29;MpKrakZloRog-PM10-24g;18.38
2021-07-30;MpKrakZloRog-PM10-24g;25.23
2021-07-31;MpKrakZloRog-PM10-24g;20.22
2021-08-01;MpKrakZloRog-PM10-24g;15.61
2021-08-02;MpKrakZloRog-PM10-24g;10.53
2021-08-03;MpKrakZloRog-PM10-24g;11.35
2021-08-04;MpKrakZloRog-PM10-24g;15.28
2021-08-05;MpKrakZloRog-PM10-24g;8.82
2021-08-06;MpKrakZloRog-PM10-24g;9.02
2021-08-07;MpKrakZloRog-PM10-24g;15.1
2021-08-08;MpKrakZloRog-PM10-24g;11.64
2021-08-09;MpKrakZloRog-PM10-24g;13.15
2021-08-10;MpKrakZloRog-PM10-24g;20.95
2021-08-11;MpKrakZloRog-PM10-24g;18.47
2021-08-12;MpKrakZloRog-PM10-24g;22.33
2021-08-13;MpKrakZloRog-PM10-24g;28.93
2021-08-14;MpKrakZloRog-PM10-24g;28.34
2021-08-15;MpKrakZloRog-PM10-24g;28.03
2021-08-16;MpKrakZloRog-PM10-24g;24.92
2021-08-17;MpKrakZloRog-PM10-24g;10.58
2021-08-18;MpKrakZloRog-PM10-24g;13.73
2021-08-19;MpKrakZloRog-PM10-24g;10.46
2021-08-20;MpKrakZloRog-PM10-24g;21.2
2021-08-21;MpKrakZloRog-PM10-24g;20.75
2021-08-22;MpKrakZloRog-PM10-24g;21.07
2021-08-23;MpKrakZloRog-PM10-24g;14.15
2021-08-24;MpKrakZloRog-PM10-24g;11.44
2021-08-27;MpKrakZloRog-PM10-24g;22.88
2021-08-28;MpKrakZloRog-PM10-24g;13.53
2021-08-29;MpKrakZloRog-PM10-24g;16.14
2021-08-30;MpKrakZloRog-PM10-24g;13.81
2021-08-31;MpKrakZloRog-PM10-24g;7.34
2021-09-01;MpKrakZloRog-PM10-24g;12.59
2021-09-02;MpKrakZloRog-PM10-24g;18.32
2021-09-03;MpKrakZloRog-PM10-24g;23.77
2021-09-04;MpKrakZloRog-PM10-24g;23.35
2021-09-05;MpKrakZloRog-PM10-24g;11.55
2021-09-06;MpKrakZloRog-PM10-24g;19.18
2021-09-07;MpKrakZloRog-PM10-24g;30.84
2021-09-08;MpKrakZloRog-PM10-24g;28.63
2021-09-09;MpKrakZloRog-PM10-24g;29.11
2021-09-10;MpKrakZloRog-PM10-24g;32.22
2021-09-11;MpKrakZloRog-PM10-24g;31.99
2021-09-12;MpKrakZloRog-PM10-24g;26.61
2021-09-13;MpKrakZloRog-PM10-24g;28.4
2021-09-14;MpKrakZloRog-PM10-24g;31.04
2021-09-15;MpKrakZloRog-PM10-24g;32.97
2021-09-16;MpKrakZloRog-PM10-24g;37.36
2021-09-17;MpKrakZloRog-PM10-24g;14.59
2021-09-18;MpKrakZloRog-PM10-24g;10.71
2021-09-19;MpKrakZloRog-PM10-24g;15.76
2021-09-20;MpKrakZloRog-PM10-24g;13.11
2021-09-21;MpKrakZloRog-PM10-24g;19.05
2021-09-22;MpKrakZloRog-PM10-24g;15.03
2021-09-23;MpKrakZloRog-PM10-24g;22.9
2021-09-24;MpKrakZloRog-PM10-24g;18.18
2021-09-25;MpKrakZloRog-PM10-24g;20.97
2021-09-26;MpKrakZloRog-PM10-24g;24.55
2021-09-27;MpKrakZloRog-PM10-24g;25.92
2021-09-28;MpKrakZloRog-PM10-24g;21.28
2021-09-29;MpKrakZloRog-PM10-24g;29.76
2021-09-30;MpKrakZloRog-PM10-24g;26.96
2021-10-01;MpKrakZloRog-PM10-24g;21.77
2021-10-02;MpKrakZloRog-PM10-24g;25.5
2021-10-03;MpKrakZloRog-PM10-24g;26.07
2021-10-04;MpKrakZloRog-PM10-24g;36.68
2021-10-05;MpKrakZloRog-PM10-24g;34.44
2021-10-06;MpKrakZloRog-PM10-24g;28.54
2021-10-07;MpKrakZloRog-PM10-24g;37.43
2021-10-08;MpKrakZloRog-PM10-24g;38.38
2021-10-09;MpKrakZloRog-PM10-24g;28.78
2021-10-10;MpKrakZloRog-PM10-24g;38.49
2021-10-11;MpKrakZloRog-PM10-24g;63.35
2021-10-12;MpKrakZloRog-PM10-24g;33.92
2021-10-13;MpKrakZloRog-PM10-24g;18.76
2021-10-14;MpKrakZloRog-PM10-24g;27.96
2021-10-15;MpKrakZloRog-PM10-24g;21.07
2021-10-16;MpKrakZloRog-PM10-24g;21.68
2021-10-17;MpKrakZloRog-PM10-24g;32.53
2021-10-18;MpKrakZloRog-PM10-24g;44.24
2021-10-19;MpKrakZloRog-PM10-24g;28.34
2021-10-20;MpKrakZloRog-PM10-24g;30.86
2021-10-21;MpKrakZloRog-PM10-24g;25.45
2021-10-22;MpKrakZloRog-PM10-24g;12.15
2021-10-23;MpKrakZloRog-PM10-24g;16.41
2021-10-24;MpKrakZloRog-PM10-24g;29.62
2021-10-27;MpKrakZloRog-PM10-24g;48.36
2021-10-28;MpKrakZloRog-PM10-24g;55.54
2021-10-29;MpKrakZloRog-PM10-24g;64.46
2021-10-30;MpKrakZloRog-PM10-24g;36.25
2021-10-31;MpKrakZloRog-PM10-24g;28.11
2021-11-01;MpKrakZloRog-PM10-24g;29.91
2021-11-02;MpKrakZloRog-PM10-24g;36.25
2021-11-03;MpKrakZloRog-PM10-24g;18.42
2021-11-04;MpKrakZloRog-PM10-24g;15.46
2021-11-05;MpKrakZloRog-PM10-24g;11.75
2021-11-06;MpKrakZloRog-PM10-24g;25.92
2021-11-07;MpKrakZloRog-PM10-24g;33.11
2021-11-08;MpKrakZloRog-PM10-24g;18.36
2021-11-09;MpKrakZloRog-PM10-24g;27.43
2021-11-10;MpKrakZloRog-PM10-24g;48.67
2021-11-11;MpKrakZloRog-PM10-24g;70.09
2021-11-12;MpKrakZloRog-PM10-24g;55.85
2021-11-13;MpKrakZloRog-PM10-24g;54.39
2021-11-14;MpKrakZloRog-PM10-24g;56.14
2021-11-15;MpKrakZloRog-PM10-24g;49.0
2021-11-16;MpKrakZloRog-PM10-24g;43.17
2021-11-17;MpKrakZloRog-PM10-24g;42.4
2021-11-18;MpKrakZloRog-PM10-24g;24.12
2021-11-19;MpKrakZloRog-PM10-24g;14.52
2021-11-20;MpKrakZloRog-PM10-24g;18.09
2021-11-21;MpKrakZloRog-PM10-24g;20.15
2021-11-22;MpKrakZloRog-PM10-24g;28.52
2021-11-23;MpKrakZloRog-PM10-24g;18.09
2021-11-24;MpKrakZloRog-PM10-24g;27.16
2021-11-25;MpKrakZloRog-PM10-24g;64.75
2021-11-26;MpKrakZloRog-PM10-24g;56.61
2021-11-27;MpKrakZloRog-PM10-24g;27.5
2021-11-28;MpKrakZloRog-PM10-24g;46.92
2021-11-29;MpKrakZloRog-PM10-24g;23.66
2021-11-30;MpKrakZloRog-PM10-24g;11.84
2021-12-01;MpKrakZloRog-PM10-24g;9.67
2021-12-02;MpKrakZloRog-PM10-24g;14.19
2021-12-03;MpKrakZloRog-PM10-24g;20.2
2021-12-04;MpKrakZloRog-PM10-24g;32.82
2021-12-05;MpKrakZloRog-PM10-24g;34.34
2021-12-06;MpKrakZloRog-PM10-24g;53.88
2021-12-07;MpKrakZloRog-PM10-24g;33.22
2021-12-08;MpKrakZloRog-PM10-24g;31.4
2021-12-09;MpKrakZloRog-PM10-24g;36.48
2021-12-10;MpKrakZloRog-PM10-24g;74.15
2021-12-11;MpKrakZloRog-PM10-24g;69.71
2021-12-12;MpKrakZloRog-PM10-24g;61.2
2021-12-13;MpKrakZloRog-PM10-24g;117.76
2021-12-14;MpKrakZloRog-PM10-24g;136.78
2021-12-15;MpKrakZloRog-PM10-24g;75.36
2021-12-16;MpKrakZloRog-PM10-24g;35.01
2021-12-17;MpKrakZloRog-PM10-24g;19.2
2021-12-18;MpKrakZloRog-PM10-24g;25.21
2021-12-19;MpKrakZloRog-PM10-24g;12.64
2021-12-20;MpKrakZloRog-PM10-24g;11.51
2021-12-21;MpKrakZloRog-PM10-24g;28.14
2021-12-22;MpKrakZloRog-PM10-24g;65.01
2021-12-23;MpKrakZloRog-PM10-24g;62.19
2021-12-24;MpKrakZloRog-PM10-24g;14.46
2021-12-27;MpKrakZloRog-PM10-24g;54.19
2021-12-28;MpKrakZloRog-PM10-24g;37.21
2021-12-29;MpKrakZloRog-PM10-24g;67.63
2021-12-30;MpKrakZloRog-PM10-24g;74.9
2021-12-31;MpKrakZloRog-PM10-24g;11.64
2022-01-01;MpKrakZloRog-PM10-24g;16.21
2022-01-02;MpKrakZloRog-PM10-24g;24.92
2022-01-03;MpKrakZloRog-PM10-24g;11.71
2022-01-04;MpKrakZloRog-PM10-24g;7.52
2022-01-05;MpKrakZloRog-PM10-24g;10.33
2022-01-06;MpKrakZloRog-PM10-24g;7.34
2022-01-07;MpKrakZloRog-PM10-24g;36.3
2022-01-08;MpKrakZloRog-PM10-24g;55.41
2022-01-09;MpKrakZloRog-PM10-24g;58.56
2022-01-10;MpKrakZloRog-PM10-24g;40.89
2022-01-11;MpKrakZloRog-PM10-24g;31.44
2022-01-12;MpKrakZloRog-PM10-24g;39.71
2022-01-13;MpKrakZloRog-PM10-24g;36.74
2022-01-14;MpKrakZloRog-PM10-24g;24.81
2022-01-15;MpKrakZloRog-PM10-24g;36.19
2022-01-16;MpKrakZloRog-PM10-24g;48.11
2022-01-17;MpKrakZloRog-PM10-24g;13.35
2022-01-18;MpKrakZloRog-PM10-24g;21.6
2022-01-19;MpKrakZloRog-PM10-24g;44.32
2022-01-20;MpKrakZloRog-PM10-24g;14.43
2022-01-21;MpKrakZloRog-PM10-24g;15.99
2022-01-22;MpKrakZloRog-PM10-24g;15.77
2022-01-23;MpKrakZloRog-PM10-24g;25.65
2022-01-24;MpKrakZloRog-PM10-24g;56.14
2022-01-25;MpKrakZloRog-PM10-24g;50.35
2022-01-26;MpKrakZloRog-PM10-24g;29.16
2022-01-27;MpKrakZloRog-PM10-24g;21.95
2022-01-28;MpKrakZloRog-PM10-24g;9.25
2022-01-29;MpKrakZloRog-PM10-24g;14.17
2022-01-30;MpKrakZloRog-PM10-24g;12.48
2022-01-31;MpKrakZloRog-PM10-24g;35.96
2022-02-01;MpKrakZloRog-PM10-24g;38.45
2022-02-02;MpKrakZloRog-PM10-24g;8.23
2022-02-03;MpKrakZloRog-PM10-24g;19.78
2022-02-04;MpKrakZloRog-PM10-24g;26.72
2022-02-05;MpKrakZloRog-PM10-24g;12.97
2022-02-06;MpKrakZloRog-PM10-24g;7.85
2022-02-07;MpKrakZloRog-PM10-24g;8.38
2022-02-08;MpKrakZloRog-PM10-24g;17.36
2022-02-09;MpKrakZloRog-PM10-24g;13.93
2022-02-10;MpKrakZloRog-PM10-24g;23.97
2022-02-11;MpKrakZloRog-PM10-24g;22.46
2022-02-12;MpKrakZloRog-PM10-24g;23.35
2022-02-13;MpKrakZloRog-PM10-24g;43.41
2022-02-14;MpKrakZloRog-PM10-24g;45.59
2022-02-15;MpKrakZloRog-PM10-24g;60.47
2022-02-16;MpKrakZloRog-PM10-24g;51.24
2022-02-17;MpKrakZloRog-PM10-24g;6.25
2022-02-18;MpKrakZloRog-PM10-24g;11.58
2022-02-19;MpKrakZloRog-PM10-24g;10.29
2022-02-20;MpKrakZloRog-PM10-24g;13.02
2022-02-21;MpKrakZloRog-PM10-24g;7.67
2022-02-22;MpKrakZloRog-PM10-24g;16.92
2022-02-23;MpKrakZloRog-PM10-24g;19.93
2022-02-24;MpKrakZloRog-PM10-24g;36.47
2022-02-25;MpKrakZloRog-PM10-24g;30.0
2022-02-26;MpKrakZloRog-PM10-24g;47.56
2022-02-27;MpKrakZloRog-PM10-24g;22.88
2022-02-28;MpKrakZloRog-PM10-24g;20.46
2022-03-01;MpKrakZloRog-PM10-24g;40.87
2022-03-02;MpKrakZloRog-PM10-24g;60.42
2022-03-03;MpKrakZloRog-PM10-24g;74.13
2022-03-04;MpKrakZloRog-PM10-24g;31.04
2022-03-05;MpKrakZloRog-PM10-24g;21.99
2022-03-06;MpKrakZloRog-PM10-24g;18.85
2022-03-07;MpKrakZloRog-PM10-24g;29.98
2022-03-08;MpKrakZloRog-PM10-24g;25.43
2022-03-09;MpKrakZloRog-PM10-24g;52.91
2022-03-10;MpKrakZloRog-PM10-24g;17.36
2022-03-11;MpKrakZloRog-PM10-24g;29.76
2022-03-12;MpKrakZloRog-PM10-24g;49.89
2022-03-13;MpKrakZloRog-PM10-24g;53.84
2022-03-14;MpKrakZloRog-PM10-24g;58.82
2022-03-15;MpKrakZloRog-PM10-24g;63.33
2022-03-16;MpKrakZloRog-PM10-24g;62.35
2022-03-17;MpKrakZloRog-PM10-24g;53.39
2022-03-18;MpKrakZloRog-PM10-24g;37.56
2022-03-19;MpKrakZloRog-PM10-24g;43.68
2022-03-20;MpKrakZloRog-PM10-24g;41.35
2022-03-21;MpKrakZloRog-PM10-24g;50.82
2022-03-22;MpKrakZloRog-PM10-24g;62.84
2022-03-23;MpKrakZloRog-PM10-24g;66.03
2022-03-24;MpKrakZloRog-PM10-24g;59.98
2022-03-25;MpKrakZloRog-PM10-24g;67.09
2022-03-26;MpKrakZloRog-PM10-24g;61.69
2022-03-27;MpKrakZloRog-PM10-24g;14.23
2022-03-28;MpKrakZloRog-PM10-24g;40.97
2022-03-29;MpKrakZloRog-PM10-24g;39.67
2022-03-30;MpKrakZloRog-PM10-24g;38.78
2022-03-31;MpKrakZloRog-PM10-24g;12.79
2022-04-01;MpKrakZloRog-PM10-24g;10.55
2022-04-02;MpKrakZloRog-PM10-24g;17.56
2022-04-03;MpKrakZloRog-PM10-24g;20.16
2022-04-04;MpKrakZloRog-PM10-24g;17.78
2022-04-05;MpKrakZloRog-PM10-24g;11.55
2022-04-06;MpKrakZloRog-PM10-24g;12.17
2022-04-07;MpKrakZloRog-PM10-24g;15.52
2022-04-08;MpKrakZloRog-PM10-24g;9.84
2022-04-09;MpKrakZloRog-PM10-24g;18.63
2022-04-10;MpKrakZloRog-PM10-24g;19.93
2022-04-11;MpKrakZloRog-PM10-24g;22.46
2022-04-12;MpKrakZloRog-PM10-24g;35.7
2022-04-13;MpKrakZloRog-PM10-24g;35.45
2022-04-14;MpKrakZloRog-PM10-24g;40.86
2022-04-15;MpKrakZloRog-PM10-24g;28.34
2022-04-16;MpKrakZloRog-PM10-24g;9.11
2022-04-17;MpKrakZloRog-PM10-24g;11.66
2022-04-18;MpKrakZloRog-PM10-24g;20.69
2022-04-19;MpKrakZloRog-PM10-24g;20.33
2022-04-20;MpKrakZloRog-PM10-24g;38.94
2022-04-21;MpKrakZloRog-PM10-24g;39.74
2022-04-22;MpKrakZloRog-PM10-24g;30.35
2022-04-23;MpKrakZloRog-PM10-24g;19.31
2022-04-24;MpKrakZloRog-PM10-24g;25.83
2022-04-25;MpKrakZloRog-PM10-24g;18.45
2022-04-26;MpKrakZloRog-PM10-24g;28.11
2022-04-27;MpKrakZloRog-PM10-24g;33.01
2022-04-28;MpKrakZloRog-PM10-24g;26.03
2022-04-29;MpKrakZloRog-PM10-24g;34.48
2022-04-30;MpKrakZloRog-PM10-24g;32.11
2022-05-01;MpKrakZloRog-PM10-24g;28.56
2022-05-02;MpKrakZloRog-PM10-24g;35.12
2022-05-03;MpKrakZloRog-PM10-24g;35.39
2022-05-04;MpKrakZloRog-PM10-24g;25.48
2022-05-05;MpKrakZloRog-PM10-24g;25.03
2022-05-06;MpKrakZloRog-PM10-24g;34.66
2022-05-07;MpKrakZloRog-PM10-24g;29.49
2022-05-08;MpKrakZloRog-PM10-24g;28.18
2022-05-09;MpKrakZloRog-PM10-24g;17.65
2022-05-10;MpKrakZloRog-PM10-24g;25.34
2022-05-11;MpKrakZloRog-PM10-24g;29.56
2022-05-12;MpKrakZloRog-PM10-24g;35.21
2022-05-13;MpKrakZloRog-PM10-24g;31.18
2022-05-14;MpKrakZloRog-PM10-24g;23.57
2022-05-15;MpKrakZloRog-PM10-24g;23.21
2022-05-16;MpKrakZloRog-PM10-24g;22.15
2022-05-17;MpKrakZloRog-PM10-24g;21.97
2022-05-18;MpKrakZloRog-PM10-24g;17.87
2022-05-19;MpKrakZloRog-PM10-24g;25.25
